1, 0.25, 0.1, 0, 0
1, 0.62, 0.1, 0, 0
3, 0.0, 2.0, 0, 0
3, 0.4, 0.1, 0, 0
3, 0.3, 0.05, 0, 0
3, 1.5, 0.37, 0, 0
3, 1.25, 0.12, 0, 0
3, 4.0, 1.5, 0, 0
2, 0.7, 0.1, 0, 0
2, 0.5, 0.1, 0, 0
3, 2.0, 0.75, 0, 0
2, 0.5, 0.1, 0, 0
2, 0.5, 0.15, 0, 0
2, 0.5, 0.15, 0, 0
2, 0.5, 0.15, 0, 0
3, 1.5, 0.25, 0, 0
2, 0.7500000000000001, 0.10000000000000002, 0, 0
3, 0.12, 0.05, 0, 0
3, 0.12, 0.05, 0, 0
2, 0.5, 0.2, 0, 0
2, 0.5, 0.2, 0, 0
2, 0.5, 0.2, 0, 0
2, 0.5, 0.2, 0, 0
2, 0.5, 0.2, 0, 0
2, 0.5, 0.2, 0, 0
2, 0.5, 0.2, 0, 0
2, 0.5, 0.2, 0, 0
2, 0.5, 0.2, 0, 0
2, 0.5, 0.2, 0, 0
4, 0.1, 2, 0, 0
4, 0.1, 2, 0, 0
4, 0.1, 2, 0, 0
4, 0.1, 2, 0, 0
4, 0.1, 2, 0, 0
4, 0.1, 2, 0, 0
4, 0.1, 2, 0, 0
